Unnamed: 0,Date and Time,Speed (km/h),Distance traveled (km).1,Status,Position,Longitude,Latitude,Distance traveled (km),Distance_geopy
75,2017-06-03 17:48:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
76,2017-06-03 17:51:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
77,2017-06-03 17:54:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
78,2017-06-03 17:57:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
79,2017-06-03 18:01:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
80,2017-06-03 18:04:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
81,2017-06-03 18:07:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
82,2017-06-03 18:10:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
83,2017-06-03 18:14:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
84,2017-06-03 18:17:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
85,2017-06-03 18:20:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
86,2017-06-03 18:24:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
87,2017-06-03 18:27:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
88,2017-06-03 18:30:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
89,2017-06-03 18:33:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
90,2017-06-03 18:37:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
91,2017-06-03 18:40:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
92,2017-06-03 18:43:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
93,2017-06-03 18:46:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
94,2017-06-03 18:50:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
95,2017-06-03 18:53:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
96,2017-06-03 18:56:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
97,2017-06-03 19:00:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
98,2017-06-03 19:03:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
99,2017-06-03 19:06:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
100,2017-06-03 19:09:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
101,2017-06-03 19:13:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
102,2017-06-03 19:16:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
103,2017-06-03 19:19:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
104,2017-06-03 19:22:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
105,2017-06-03 19:26:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
106,2017-06-03 19:29:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
107,2017-06-03 19:32:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
108,2017-06-03 19:36:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
109,2017-06-03 19:39:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
110,2017-06-03 19:42:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
111,2017-06-03 19:45:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
112,2017-06-03 19:49:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
113,2017-06-03 19:52:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
114,2017-06-03 19:55:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
115,2017-06-03 19:58:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
116,2017-06-03 20:02:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
117,2017-06-03 20:05:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
118,2017-06-03 20:08:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
119,2017-06-03 20:11:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
120,2017-06-03 20:15:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
121,2017-06-03 20:18:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
122,2017-06-03 20:21:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
123,2017-06-03 20:25:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
124,2017-06-03 20:28:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
125,2017-06-03 20:31:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
126,2017-06-03 20:34:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
127,2017-06-03 20:38:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
128,2017-06-03 20:41:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
129,2017-06-03 20:44:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
130,2017-06-03 20:47:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
131,2017-06-03 20:51:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
132,2017-06-03 20:54:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
133,2017-06-03 20:57:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
134,2017-06-03 21:00:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
135,2017-06-03 21:04:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
