Index,Date and Time,Speed (km/h),Distance traveled (km),Distance traveled (km),Status,Position,Latitude,Longitude
,2017-06-06 15:42:50,0,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约207米,距邦普循环科技园 约336米",112.672034,28.276467
,2017-06-06 15:43:10,0,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约207米,距邦普循环科技园 约336米",112.672034,28.276467
,2017-06-06 15:43:30,0,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约207米,距邦普循环科技园 约336米",112.672034,28.276468
,2017-06-06 15:43:50,0,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约207米,距邦普循环科技园 约336米",112.672035,28.276468
,2017-06-06 15:44:10,0,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约207米,距邦普循环科技园 约336米",112.672035,28.276468
,2017-06-06 15:44:30,0,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约207米,距邦普循环科技园 约336米",112.672035,28.276468
,2017-06-06 15:44:50,0,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约207米,距邦普循环科技园 约335米",112.672032,28.276469
,2017-06-06 15:45:10,0,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约207米,距邦普循环科技园 约336米",112.672031,28.276472
,2017-06-06 15:45:30,0,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约207米,距邦普循环科技园 约336米",112.672031,28.276473
,2017-06-06 15:45:50,0,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约207米,距邦普循环科技园 约336米",112.672031,28.276473
,2017-06-06 15:46:10,0,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约206米,距邦普循环科技园 约336米",112.672031,28.276474
,2017-06-06 15:46:30,0,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约206米,距邦普循环科技园 约336米",112.672029,28.276475
,2017-06-06 15:46:50,0,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约206米,距邦普循环科技园 约335米",112.672024,28.276479
,2017-06-06 15:47:10,0,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约206米,距邦普循环科技园 约335米",112.672025,28.27648
,2017-06-06 15:47:30,0,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约205米,距邦普循环科技园 约335米",112.672021,28.276482
,2017-06-06 15:47:50,0,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约205米,距邦普循环科技园 约335米",112.672021,28.276482
,2017-06-06 15:48:10,0,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约205米,距邦普循环科技园 约335米",112.672021,28.276482
,2017-06-06 15:48:30,0,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约205米,距邦普循环科技园 约335米",112.672021,28.276482
,2017-06-06 15:48:50,0,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约205米,距邦普循环科技园 约335米",112.672021,28.276482
,2017-06-06 15:49:10,0,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约233米,距邦普循环科技园 约351米",112.672316,28.276293
,2017-06-06 15:49:30,0,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约239米,距邦普循环科技园 约352米",112.672347,28.276247
,2017-06-06 15:49:50,0,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约253米,距邦普循环科技园 约372米",112.6726,28.276192
,2017-06-06 15:50:10,12,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约212米,距金腾科技园 约345米",112.672839,28.276725
,2017-06-06 15:50:30,14,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约179米,距金腾科技园 约272米",112.673093,28.27735
,2017-06-06 15:50:50,7,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约170米,距金腾科技园 约210米",112.673283,28.277895
,2017-06-06 15:51:10,7,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距金腾科技园 约178米,距窑家坡 约204米",112.673673,28.278039
