Unnamed: 0,Index,Date and Time,Speed (km/h),Distance traveled (km).1,Status,Position,Latitude,Longitude,Distance traveled (km),Distance_geopy
119,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约123米,距石板滩中学 约278米",111,639301,29,162123,"ACC开,3D定位,天线正常",0.0
120,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约123米,距石板滩中学 约278米",111,639301,29,162122,"ACC开,3D定位,天线正常",97253.12142692338
121,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约123米,距石板滩中学 约278米",111,639301,29,162123,"ACC开,3D定位,天线正常",97253.12142692338
122,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约123米,距石板滩中学 约278米",111,639301,29,162122,"ACC开,3D定位,天线正常",97253.12142692338
123,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约123米,距石板滩中学 约278米",111,6393,29,162122,"ACC开,3D定位,天线正常",0.0
124,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约123米,距石板滩中学 约278米",111,6393,29,162123,"ACC开,3D定位,天线正常",97253.12142692338
125,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约123米,距石板滩中学 约278米",111,639301,29,162123,"ACC开,3D定位,天线正常",0.0
126,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约123米,距石板滩中学 约278米",111,639303,29,162123,"ACC开,3D定位,天线正常",0.0
127,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约123米,距石板滩中学 约278米",111,639302,29,162124,"ACC开,3D定位,天线正常",97253.12142692087
128,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约123米,距石板滩中学 约278米",111,639298,29,162123,"ACC开,3D定位,天线正常",97253.12142692087
129,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约123米,距石板滩中学 约278米",111,639297,29,162123,"ACC开,3D定位,天线正常",0.0
